type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldOn,listPrice,status,sold_year,sold_month,age,status_encoded
single_family,1990,4.0,2.0,2.0,1.0,2.0,83635.0,1996.0,2.0,2018-05-31,500000.0,for_sale,2018,5,34,0
single_family,2022,3.0,3.0,2.0,1.0,2.0,3920.0,1495.0,2.0,2018-05-31,390000.0,for_sale,2018,5,2,0
townhouse,2003,3.0,2.0,2.0,1.0,2.0,13939.0,1399.0,2.0,2018-05-31,414990.0,for_sale,2018,5,21,0
single_family,2022,3.0,3.0,3.0,1.0,2.0,3920.0,1495.0,2.0,2018-05-31,390000.0,for_sale,2018,5,2,0
single_family,2003,3.0,3.0,2.0,1.0,2.0,13939.0,1547.0,2.0,2018-05-31,444990.0,for_sale,2018,5,21,0
single_family,2011,6.0,4.0,3.0,1.0,5.0,17860.0,5076.0,2.0,2018-05-31,1468000.0,for_sale,2018,5,13,0
single_family,2009,4.0,2.0,2.0,1.0,2.0,13068.0,3728.0,2.0,2018-05-31,565000.0,for_sale,2018,5,15,0
single_family,2003,5.0,4.0,3.0,1.0,2.0,13939.0,2646.0,2.0,2018-05-31,624990.0,for_sale,2018,5,21,0
single_family,2003,2.0,3.0,2.0,1.0,2.0,13939.0,3546.0,1.0,2018-05-31,649990.0,for_sale,2018,5,21,0
single_family,1985,3.0,2.0,1.0,1.0,2.0,15682.0,2290.0,2.0,2018-05-31,349900.0,for_sale,2018,5,39,0
single_family,2003,3.0,2.0,2.0,1.0,2.0,13939.0,1848.0,1.0,2018-05-31,479990.0,for_sale,2018,5,21,0
single_family,2024,3.0,3.0,3.0,1.0,2.0,3049.0,1889.0,2.0,2018-05-31,529990.0,for_sale,2018,5,0,0
single_family,2003,3.0,3.0,3.0,1.0,2.0,13939.0,2230.0,1.0,2018-05-31,679990.0,for_sale,2018,5,21,0
land,2003,4.0,0.0,2.0,1.0,2.0,21780.0,2400.0,2.0,2018-05-31,25000.0,for_sale,2018,5,21,0
land,2003,4.0,0.0,2.0,1.0,2.0,6098.0,2400.0,2.0,2018-05-31,35000.0,for_sale,2018,5,21,0
land,2003,4.0,0.0,2.0,1.0,2.0,13939.0,2400.0,2.0,2018-05-31,20000.0,for_sale,2018,5,21,0
land,2003,4.0,0.0,2.0,1.0,2.0,23087.0,2400.0,2.0,2018-05-31,249000.0,for_sale,2018,5,21,0
land,2003,4.0,0.0,2.0,1.0,2.0,14375.0,2400.0,2.0,2018-05-31,385000.0,for_sale,2018,5,21,0
land,2003,4.0,0.0,2.0,1.0,2.0,23522.0,2400.0,2.0,2018-05-31,160000.0,for_sale,2018,5,21,0
land,2003,4.0,0.0,2.0,1.0,2.0,21344.0,2400.0,2.0,2018-05-31,47500.0,for_sale,2018,5,21,0
single_family,2010,6.0,14.0,6.0,6.0,8.0,6795360.0,2400.0,3.0,2018-05-31,15500000.0,for_sale,2018,5,14,0
land,2003,4.0,0.0,2.0,1.0,2.0,21780.0,2400.0,2.0,2018-05-31,75000.0,for_sale,2018,5,21,0
land,2003,4.0,0.0,2.0,1.0,2.0,43560.0,2400.0,2.0,2018-05-31,220000.0,for_sale,2018,5,21,0
land,2003,4.0,0.0,2.0,1.0,2.0,21344.0,2400.0,2.0,2018-05-31,47500.0,for_sale,2018,5,21,0
land,2003,4.0,0.0,2.0,1.0,2.0,202118.0,2400.0,2.0,2021-02-01,155000.0,for_sale,2021,2,21,0
land,2003,4.0,0.0,2.0,1.0,2.0,7405.0,2400.0,2.0,2018-05-31,99000.0,for_sale,2018,5,21,0
land,2003,4.0,0.0,2.0,1.0,2.0,1742400.0,2400.0,2.0,2018-05-31,30000.0,for_sale,2018,5,21,0
